Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID,duration,eventlog_violation,policy_violation,true_violation
Obtained,User_16,W_Complete application,Workflow,Workitem_2108264983,start,2016-01-04 13:03:41.279000+00:00,Car,New credit,Application_2062932311,10000.0,,,,,,,,,0.0062094444444444445,False,False,False
Deleted,User_100,W_Validate application,Workflow,Workitem_918866034,ate_abort,2016-01-14 15:16:16.683000+00:00,Car,New credit,Application_1193723578,20000.0,,,,,,,,,0.0011731944444444446,False,False,False
statechange,User_95,O_Accepted,Offer,OfferState_1977922851,complete,2016-01-15 12:26:14.031000+00:00,Car,New credit,Application_1876456626,10750.0,,,,,,,,Offer_1974566073,1.111111111111111e-06,False,False,False
Created,User_17,W_Call after offers,Workflow,Workitem_954846691,schedule,2016-01-02 14:46:43.317000+00:00,"Other, see explanation",New credit,Application_387012864,5000.0,,,,,,,,,5.555555555555555e-07,False,False,False
statechange,User_19,A_Complete,Application,ApplState_920770384,complete,2016-01-04 18:20:05.602000+00:00,Unknown,New credit,Application_485131054,0.0,,,,,,,,,0.011971388888888889,False,False,False
Deleted,User_117,W_Call after offers,Workflow,Workitem_402437014,ate_abort,2016-01-08 09:10:52.662000+00:00,Car,New credit,Application_323012882,8000.0,,,,,,,,,1.6666666666666667e-06,False,False,False
Created,User_1,W_Handle leads,Workflow,Workitem_1842041739,schedule,2016-01-03 14:01:53.091000+00:00,Home improvement,New credit,Application_798605556,35000.0,,,,,,,,,0.029395,False,False,False
Obtained,User_89,W_Complete application,Workflow,Workitem_2087809493,start,2016-01-04 13:26:06.201000+00:00,Home improvement,New credit,Application_1370588808,25000.0,,,,,,,,,0.10462527777777778,False,False,False
Obtained,User_7,W_Complete application,Workflow,Workitem_1094620290,start,2016-01-04 08:40:19.371000+00:00,"Other, see explanation",New credit,Application_1962860870,6000.0,,,,,,,,,1.111111111111111e-06,False,False,False
statechange,User_119,A_Validating,Application,ApplState_493536455,complete,2016-01-18 15:39:33.368000+00:00,Car,New credit,Application_675073178,24000.0,,,,,,,,,0.005568333333333333,False,False,False
Released,User_30,W_Validate application,Workflow,Workitem_1163962448,suspend,2016-01-27 13:47:56.222000+00:00,Existing loan takeover,Limit raise,Application_1999238509,10000.0,,,,,,,,,0.009948611111111111,False,False,False
Obtained,User_44,W_Call incomplete files,Workflow,Workitem_1140256253,resume,2016-02-05 17:49:16.841000+00:00,Car,New credit,Application_1405679737,5000.0,,,,,,,,,0.040676944444444446,False,False,False
Released,User_116,W_Validate application,Workflow,Workitem_367653916,suspend,2016-01-12 10:59:00.753000+00:00,Home improvement,New credit,Application_180547487,6000.0,,,,,,,,,1.8512008333333334,False,False,False
statechange,User_102,A_Incomplete,Application,ApplState_519288130,complete,2016-01-13 12:46:20.319000+00:00,"Other, see explanation",Limit raise,Application_1307111345,20000.0,,,,,,,,,0.0077063888888888885,False,False,False
statechange,User_38,A_Concept,Application,ApplState_1652691523,complete,2016-01-04 13:34:14.250000+00:00,Home improvement,New credit,Application_665878125,18000.0,,,,,,,,,0.22376277777777778,False,False,False
Obtained,User_47,W_Complete application,Workflow,Workitem_692256230,start,2016-01-04 10:40:54.587000+00:00,"Other, see explanation",Limit raise,Application_54405635,6000.0,,,,,,,,,0.005340833333333334,False,False,False
Created,User_1,W_Complete application,Workflow,Workitem_1506856849,schedule,2016-01-03 09:08:05.209000+00:00,Existing loan takeover,New credit,Application_1300843234,12500.0,,,,,,,,,1.6666666666666667e-06,False,False,False
statechange,User_22,O_Created,Offer,OfferState_2001518750,complete,2016-01-04 18:30:31.598000+00:00,Not speficied,New credit,Application_1845547664,9000.0,,,,,,,,Offer_236427577,0.03458555555555556,False,False,False
statechange,User_10,O_Sent (mail and online),Offer,OfferState_729288662,complete,2016-01-12 14:56:42.810000+00:00,Car,New credit,Application_319587802,7000.0,,,,,,,,Offer_1377685007,234.28341138888888,True,True,True
Released,User_114,W_Validate application,Workflow,Workitem_1210832742,suspend,2016-01-15 11:59:36.710000+00:00,Home improvement,Limit raise,Application_2035768049,15000.0,,,,,,,,,2.0770544444444443,False,False,False
statechange,User_112,A_Validating,Application,ApplState_854072233,complete,2016-01-14 08:51:05.591000+00:00,Home improvement,New credit,Application_1530322400,5000.0,,,,,,,,,0.0053302777777777775,False,False,False
Released,User_89,W_Complete application,Workflow,Workitem_550743710,suspend,2016-01-04 15:12:15.692000+00:00,Unknown,Limit raise,Application_369018038,0.0,,,,,,,,,0.015437500000000002,False,False,False
Released,User_2,W_Call incomplete files,Workflow,Workitem_1817434383,suspend,2016-01-14 08:24:27.200000+00:00,"Other, see explanation",Limit raise,Application_484278024,7000.0,,,,,,,,,99.30935416666667,False,False,False
statechange,User_24,O_Cancelled,Offer,OfferState_1551120934,complete,2016-01-30 09:57:53.635000+00:00,"Other, see explanation",New credit,Application_2040511284,5500.0,,,,,,,,Offer_1504835931,2.222222222222222e-06,False,False,False
statechange,User_16,A_Complete,Application,ApplState_1268823139,complete,2016-01-04 11:44:34.090000+00:00,Home improvement,New credit,Application_1538441067,10500.0,,,,,,,,,0.01749361111111111,False,False,False
Released,User_28,W_Call incomplete files,Workflow,Workitem_677234984,suspend,2016-02-23 09:58:56.501000+00:00,Car,New credit,Application_1405679737,5000.0,,,,,,,,,166.77219833333334,True,True,True
statechange,User_43,A_Accepted,Application,ApplState_1051577491,complete,2016-01-04 09:18:31.779000+00:00,Home improvement,Limit raise,Application_1674281629,30000.0,,,,,,,,,0.04212027777777778,False,False,False
Released,User_19,W_Complete application,Workflow,Workitem_1103829372,suspend,2016-01-04 18:23:36.318000+00:00,"Other, see explanation",New credit,Application_1304234740,50000.0,,,,,,,,,0.09036527777777778,False,False,False
Released,User_2,W_Call incomplete files,Workflow,Workitem_1875593654,suspend,2016-01-19 08:34:08.252000+00:00,Home improvement,New credit,Application_1946680177,25000.0,,,,,,,,,5.024565833333334,False,False,False
Created,User_29,W_Call incomplete files,Workflow,Workitem_2035198224,schedule,2016-01-14 15:16:32.705000+00:00,Existing loan takeover,New credit,Application_1870161219,27400.0,,,,,,,,,5.555555555555555e-07,False,False,False
Created,User_11,W_Call after offers,Workflow,Workitem_390159809,schedule,2016-01-04 19:02:04.598000+00:00,Car,New credit,Application_2002564265,5000.0,,,,,,,,,1.111111111111111e-06,False,False,False
Obtained,User_14,W_Complete application,Workflow,Workitem_1717740765,start,2016-01-04 07:24:25.975000+00:00,Car,New credit,Application_1624825294,5000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_87,O_Cancelled,Offer,OfferState_1085893347,complete,2016-01-14 14:17:09.978000+00:00,Home improvement,New credit,Application_1547844908,40000.0,,,,,,,,Offer_1047899891,3.055555555555555e-06,False,False,False
Deleted,User_1,W_Handle leads,Workflow,Workitem_989842604,withdraw,2016-01-04 18:05:01.990000+00:00,Existing loan takeover,New credit,Application_421364849,32000.0,,,,,,,,,3.611111111111111e-06,False,False,False
Deleted,User_9,W_Call incomplete files,Workflow,Workitem_1178395663,ate_abort,2016-01-28 08:09:43.824000+00:00,Home improvement,New credit,Application_1538441067,10500.0,,,,,,,,,0.03188152777777778,False,False,False
Created,User_15,O_Create Offer,Offer,Offer_1915747752,complete,2016-01-08 10:34:25.337000+00:00,"Other, see explanation",New credit,Application_60181210,20000.0,15000.0,78.0,True,300.0,True,884.0,20000.0,,0.00038083333333333334,False,False,False
Created,User_16,O_Create Offer,Offer,Offer_2016468100,complete,2016-01-04 11:43:41.530000+00:00,Home improvement,New credit,Application_1538441067,10500.0,0.0,61.0,True,200.0,False,0.0,10500.0,,0.0003388888888888889,False,False,False
Obtained,User_87,W_Validate application,Workflow,Workitem_643521742,resume,2016-01-12 12:15:36.326000+00:00,Not speficied,New credit,Application_584603670,5000.0,,,,,,,,,0.020458888888888888,False,False,False
statechange,User_20,A_Concept,Application,ApplState_1788815215,complete,2016-01-04 15:30:10.979000+00:00,Unknown,New credit,Application_1616009132,0.0,,,,,,,,,0.03534333333333334,False,False,False
statechange,User_1,A_Submitted,Application,ApplState_354765997,complete,2016-01-03 18:50:16.672000+00:00,Car,New credit,Application_2068443797,13500.0,,,,,,,,,9.055555555555556e-05,False,False,False
Released,User_75,W_Call incomplete files,Workflow,Workitem_1877675331,suspend,2016-02-15 11:15:35.713000+00:00,Remaining debt home,Limit raise,Application_1374020543,30000.0,,,,,,,,,2.531359166666667,True,True,True
statechange,User_1,A_Submitted,Application,ApplState_767433727,complete,2016-01-03 20:11:13.929000+00:00,Car,New credit,Application_813133375,33800.0,,,,,,,,,9.722222222222222e-05,False,False,False
statechange,User_1,A_Concept,Application,ApplState_287418819,complete,2016-01-01 13:23:29.511000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,22.383164444444446,False,False,False
Created,User_14,W_Complete application,Workflow,Workitem_1941259447,schedule,2016-01-04 09:24:01.756000+00:00,Remaining debt home,Limit raise,Application_1374020543,30000.0,,,,,,,,,8.333333333333333e-07,False,False,False
Deleted,User_89,W_Complete application,Workflow,Workitem_2040593406,complete,2016-01-04 15:20:22.312000+00:00,Unknown,Limit raise,Application_369018038,0.0,,,,,,,,,1.6666666666666667e-06,False,False,False
statechange,User_30,A_Incomplete,Application,ApplState_721388929,complete,2016-02-29 11:27:44.644000+00:00,Car,New credit,Application_807916303,12000.0,,,,,,,,,0.0019233333333333335,False,False,False
Released,User_75,W_Validate application,Workflow,Workitem_1018087181,suspend,2016-02-15 07:50:11.186000+00:00,Remaining debt home,Limit raise,Application_1374020543,30000.0,,,,,,,,,3.0956188888888887,True,True,True
Deleted,User_118,W_Call after offers,Workflow,Workitem_993005861,ate_abort,2016-01-25 12:43:50.118000+00:00,Caravan / Camper,Limit raise,Application_914660918,25000.0,,,,,,,,,1.2777777777777777e-05,False,False,False
Deleted,User_113,W_Call incomplete files,Workflow,Workitem_1717278527,ate_abort,2016-01-15 11:20:37.754000+00:00,Home improvement,New credit,Application_2049529862,10000.0,,,,,,,,,1.6666666666666667e-06,False,False,False
statechange,User_116,O_Returned,Offer,OfferState_836197344,complete,2016-01-13 09:08:14.217000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923,0.09675916666666667,False,False,False
Released,User_95,W_Validate application,Workflow,Workitem_507678511,suspend,2016-01-18 15:25:29.387000+00:00,Existing loan takeover,New credit,Application_421364849,32000.0,,,,,,,,,14.617802222222224,True,True,True
Obtained,User_109,W_Validate application,Workflow,Workitem_344816503,resume,2016-01-18 10:22:03.711000+00:00,Home improvement,New credit,Application_1530322400,5000.0,,,,,,,,,0.2099258333333333,False,False,False
Created,User_89,O_Create Offer,Offer,Offer_864688635,complete,2016-01-04 10:54:50.561000+00:00,Car,Limit raise,Application_1128910355,0.0,0.0,127.0,False,240.0,False,0.0,24000.0,,0.00036166666666666666,False,False,False
Created,User_113,W_Validate application,Workflow,Workitem_174504697,schedule,2016-01-13 09:36:13.939000+00:00,Home improvement,Limit raise,Application_803879893,10000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Obtained,User_99,W_Validate application,Workflow,Workitem_1050110508,resume,2016-01-12 15:22:41.749000+00:00,"Other, see explanation",New credit,Application_1859638703,15000.0,,,,,,,,,0.169685,False,False,False
Created,User_1,A_Create Application,Application,Application_1553362978,complete,2016-01-02 09:27:03.845000+00:00,Car,New credit,Application_1553362978,12000.0,,,,,,,,,1.861111111111111e-05,False,False,False
Deleted,User_1,W_Handle leads,Workflow,Workitem_363222672,withdraw,2016-01-03 21:24:49.754000+00:00,Home improvement,New credit,Application_1754646859,10000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
statechange,User_8,O_Created,Offer,OfferState_2001003632,complete,2016-01-04 19:09:12.023000+00:00,Caravan / Camper,New credit,Application_909491524,15000.0,,,,,,,,Offer_1007493744,0.09175638888888889,False,False,False
Obtained,User_17,W_Complete application,Workflow,Workitem_1569152300,resume,2016-01-02 11:35:26.870000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,,0.08379166666666667,False,False,False
Obtained,User_87,W_Validate application,Workflow,Workitem_146159373,resume,2016-01-13 10:57:16.010000+00:00,Existing loan takeover,New credit,Application_1138826038,5000.0,,,,,,,,,0.0012283333333333332,False,False,False
