case_id,eventlog_edit_distance,policy_edit_distance,sequence_length,eventlog_normalized_distance,policy_normalized_distance
Application_1004303396,0,0,97,0.0,0.0
Application_1017492916,0,0,22,0.0,0.0
Application_1018615109,0,0,38,0.0,0.0
Application_1044610848,0,0,31,0.0,0.0
Application_1044911465,0,0,30,0.0,0.0
Application_1059184025,0,0,41,0.0,0.0
Application_1068218912,0,0,29,0.0,0.0
Application_106973225,0,0,22,0.0,0.0
Application_1085880569,0,0,27,0.0,0.0
Application_1096831814,0,0,42,0.0,0.0
Application_1101997724,0,0,43,0.0,0.0
Application_1111870538,0,0,25,0.0,0.0
Application_1118236712,0,0,25,0.0,0.0
Application_1120819670,0,0,41,0.0,0.0
Application_1128910355,0,0,39,0.0,0.0
Application_1130101747,0,0,46,0.0,0.0
Application_1130151790,0,0,18,0.0,0.0
Application_1138826038,0,0,62,0.0,0.0
Application_1159653941,0,0,18,0.0,0.0
Application_1193723578,0,0,47,0.0,0.0
Application_1197857445,0,0,35,0.0,0.0
Application_1234535641,0,0,27,0.0,0.0
Application_1250134245,0,0,27,0.0,0.0
Application_1252717204,0,0,42,0.0,0.0
Application_1266995739,0,0,51,0.0,0.0
Application_1268592022,0,0,40,0.0,0.0
Application_1290239114,0,0,34,0.0,0.0
Application_1294530310,0,0,31,0.0,0.0
Application_1300843234,0,0,45,0.0,0.0
Application_1301009504,0,0,31,0.0,0.0
Application_1301925609,0,0,43,0.0,0.0
Application_1304234740,0,0,70,0.0,0.0
Application_130460765,0,0,41,0.0,0.0
Application_1307111345,0,0,41,0.0,0.0
Application_1308403282,0,0,39,0.0,0.0
Application_1315608886,0,0,44,0.0,0.0
Application_1339153511,0,0,78,0.0,0.0
Application_1357431492,0,0,21,0.0,0.0
Application_1363980603,0,0,22,0.0,0.0
Application_1365381023,0,0,33,0.0,0.0
Application_1370588808,0,0,22,0.0,0.0
Application_1374020543,0,0,86,0.0,0.0
Application_1395142997,0,0,37,0.0,0.0
Application_1397856354,0,0,20,0.0,0.0
Application_1405679737,0,0,102,0.0,0.0
